DATE,TAVG,TMAX,TMIN
2021-05-01,53.0,65.0,44.0
2021-05-02,62.0,77.0,50.0
2021-05-03,60.0,65.0,50.0
2021-05-04,50.0,55.0,48.0
2021-05-05,49.0,50.0,48.0
2021-05-06,56.0,67.0,50.0
2021-05-07,54.0,56.0,48.0
2021-05-08,50.0,55.0,46.0
2021-05-09,58.0,69.0,49.0
2021-05-10,55.0,63.0,49.0
2021-05-11,59.0,66.0,51.0
2021-05-12,57.0,69.0,48.0
2021-05-13,60.0,71.0,51.0
2021-05-14,65.0,77.0,56.0
2021-05-15,67.0,74.0,61.0
2021-05-16,68.0,79.0,58.0
2021-05-17,64.0,75.0,54.0
2021-05-18,71.0,84.0,59.0
2021-05-19,70.0,72.0,58.0
2021-05-20,63.0,69.0,55.0
2021-05-21,67.0,82.0,56.0
2021-05-22,73.0,89.0,62.0
2021-05-23,79.0,90.0,62.0
2021-05-24,63.0,67.0,55.0
2021-05-25,64.0,79.0,53.0
2021-05-26,74.0,92.0,63.0
2021-05-27,75.0,83.0,62.0
2021-05-28,59.0,62.0,45.0
2021-05-29,49.0,51.0,47.0
2021-05-30,51.0,51.0,50.0
2021-05-31,55.0,62.0,51.0
2021-06-01,65.0,77.0,54.0
2021-06-02,69.0,79.0,58.0
2021-06-03,67.0,76.0,60.0
2021-06-04,72.0,81.0,66.0
2021-06-05,77.0,91.0,63.0
2021-06-06,85.0,94.0,70.0
2021-06-07,85.0,96.0,73.0
2021-06-08,84.0,95.0,75.0
2021-06-09,81.0,92.0,74.0
2021-06-10,71.0,76.0,59.0
2021-06-11,62.0,66.0,57.0
2021-06-12,64.0,71.0,60.0
2021-06-13,72.0,85.0,62.0
2021-06-14,66.0,70.0,60.0
2021-06-15,67.0,73.0,62.0
2021-06-16,69.0,77.0,63.0
2021-06-17,71.0,80.0,60.0
2021-06-18,74.0,85.0,60.0
2021-06-19,78.0,91.0,69.0
2021-06-20,79.0,89.0,71.0
2021-06-21,78.0,87.0,69.0
2021-06-22,76.0,87.0,63.0
2021-06-23,66.0,75.0,59.0
2021-06-24,66.0,74.0,59.0
2021-06-25,64.0,70.0,61.0
2021-06-26,74.0,86.0,66.0
2021-06-27,81.0,89.0,74.0
2021-06-28,85.0,97.0,75.0
2021-06-29,89.0,99.0,79.0
2021-06-30,88.0,100.0,72.0
2021-07-01,78.0,85.0,68.0
2021-07-02,65.0,69.0,59.0
2021-07-03,59.0,60.0,57.0
2021-07-04,61.0,68.0,58.0
2021-07-05,65.0,78.0,57.0
2021-07-06,77.0,92.0,69.0
2021-07-07,80.0,92.0,70.0
2021-07-08,69.0,71.0,64.0
2021-07-09,67.0,78.0,63.0
2021-07-10,71.0,74.0,64.0
2021-07-11,71.0,82.0,62.0
2021-07-12,69.0,71.0,65.0
2021-07-13,67.0,70.0,65.0
2021-07-14,69.0,78.0,66.0
2021-07-15,74.0,79.0,71.0
2021-07-16,81.0,95.0,74.0
2021-07-17,76.0,79.0,70.0
2021-07-18,71.0,74.0,67.0
2021-07-19,69.0,73.0,67.0
2021-07-20,77.0,88.0,68.0
2021-07-21,78.0,84.0,68.0
2021-07-22,72.0,78.0,65.0
2021-07-23,73.0,80.0,69.0
2021-07-24,72.0,77.0,64.0
2021-07-25,72.0,76.0,69.0
2021-07-26,80.0,93.0,70.0
2021-07-27,80.0,87.0,69.0
2021-07-28,70.0,75.0,66.0
2021-07-29,72.0,81.0,66.0
2021-07-30,74.0,84.0,65.0
2021-07-31,69.0,79.0,61.0
2021-08-01,71.0,78.0,62.0
2021-08-02,74.0,83.0,66.0
2021-08-03,73.0,77.0,65.0
2021-08-04,72.0,75.0,65.0
2021-08-05,67.0,71.0,65.0
2021-08-06,75.0,89.0,67.0
2021-08-07,80.0,92.0,71.0
2021-08-08,78.0,84.0,71.0
2021-08-09,72.0,75.0,68.0
2021-08-10,70.0,76.0,67.0
2021-08-11,81.0,93.0,73.0
2021-08-12,84.0,96.0,76.0
2021-08-13,83.0,91.0,76.0
2021-08-14,85.0,92.0,78.0
2021-08-15,77.0,80.0,70.0
2021-08-16,72.0,78.0,65.0
2021-08-17,75.0,85.0,67.0
2021-08-18,78.0,89.0,72.0
2021-08-19,77.0,87.0,73.0
2021-08-20,77.0,80.0,73.0
2021-08-21,77.0,83.0,72.0
2021-08-22,72.0,75.0,70.0
2021-08-23,73.0,76.0,69.0
2021-08-24,77.0,91.0,71.0
2021-08-25,84.0,94.0,76.0
2021-08-26,85.0,96.0,75.0
2021-08-27,83.0,90.0,74.0
2021-08-28,72.0,75.0,64.0
2021-08-29,68.0,73.0,64.0
2021-08-30,77.0,88.0,71.0
2021-08-31,79.0,84.0,73.0
2021-09-01,72.0,75.0,61.0
2021-09-02,66.0,77.0,61.0
2021-09-03,67.0,77.0,59.0
2021-09-04,71.0,81.0,63.0
2021-09-05,70.0,74.0,64.0
2021-09-06,75.0,84.0,69.0
2021-09-07,74.0,82.0,65.0
2021-09-08,74.0,85.0,64.0
2021-09-09,74.0,76.0,68.0
2021-09-10,71.0,79.0,63.0
2021-09-11,69.0,79.0,59.0
2021-09-12,73.0,83.0,65.0
2021-09-13,76.0,82.0,66.0
2021-09-14,69.0,73.0,63.0
2021-09-15,75.0,86.0,68.0
2021-09-16,71.0,75.0,65.0
2021-09-17,67.0,70.0,65.0
2021-09-18,68.0,74.0,66.0
2021-09-19,69.0,72.0,62.0
2021-09-20,65.0,72.0,57.0
2021-09-21,65.0,73.0,57.0
2021-09-22,72.0,80.0,66.0
2021-09-23,73.0,82.0,67.0
2021-09-24,74.0,80.0,69.0
2021-09-25,70.0,75.0,65.0
2021-09-26,69.0,77.0,61.0
2021-09-27,67.0,76.0,58.0
2021-09-28,69.0,71.0,58.0
2021-09-29,60.0,66.0,52.0
2021-09-30,59.0,64.0,53.0
2021-10-01,59.0,69.0,51.0
2021-10-02,63.0,76.0,52.0
2021-10-03,64.0,68.0,59.0
2021-10-04,61.0,63.0,55.0
2021-10-05,58.0,63.0,54.0
2021-10-06,62.0,68.0,56.0
2021-10-07,64.0,74.0,56.0
2021-10-08,65.0,71.0,59.0
2021-10-09,63.0,66.0,61.0
2021-10-10,63.0,66.0,61.0
2021-10-11,64.0,69.0,60.0
2021-10-12,65.0,75.0,57.0
2021-10-13,68.0,78.0,60.0
2021-10-14,67.0,75.0,60.0
2021-10-15,65.0,69.0,60.0
2021-10-16,69.0,76.0,62.0
2021-10-17,62.0,65.0,52.0
2021-10-18,55.0,62.0,47.0
2021-10-19,53.0,63.0,46.0
2021-10-20,60.0,72.0,54.0
2021-10-21,66.0,75.0,58.0
2021-10-22,65.0,72.0,55.0
2021-10-23,55.0,60.0,49.0
2021-10-24,50.0,58.0,44.0
2021-10-25,53.0,56.0,50.0
2021-10-26,57.0,60.0,50.0
2021-10-27,51.0,52.0,47.0
2021-10-28,48.0,50.0,43.0
2021-10-29,46.0,52.0,41.0
2021-10-30,54.0,59.0,52.0
2021-10-31,59.0,67.0,53.0
2021-11-01,56.0,60.0,47.0
2021-11-02,51.0,57.0,45.0
2021-11-03,48.0,52.0,40.0
2021-11-04,43.0,49.0,36.0
2021-11-05,44.0,51.0,37.0
2021-11-06,43.0,51.0,36.0
2021-11-07,44.0,54.0,34.0
2021-11-08,48.0,60.0,40.0
2021-11-09,54.0,70.0,42.0
2021-11-10,56.0,62.0,48.0
2021-11-11,49.0,53.0,41.0
2021-11-12,55.0,63.0,49.0
2021-11-13,52.0,57.0,41.0
2021-11-14,44.0,50.0,37.0
2021-11-15,45.0,49.0,40.0
2021-11-16,42.0,49.0,37.0
2021-11-17,41.0,52.0,34.0
2021-11-18,57.0,70.0,52.0
2021-11-19,49.0,55.0,37.0
2021-11-20,39.0,44.0,33.0
2021-11-21,44.0,54.0,39.0
2021-11-22,53.0,57.0,37.0
2021-11-23,37.0,40.0,28.0
2021-11-24,33.0,43.0,27.0
2021-11-25,42.0,54.0,35.0
2021-11-26,45.0,47.0,35.0
2021-11-27,35.0,39.0,30.0
2021-11-28,33.0,38.0,29.0
2021-11-29,36.0,41.0,29.0
2021-11-30,32.0,41.0,26.0
2021-12-01,39.0,46.0,33.0
2021-12-02,46.0,60.0,36.0
2021-12-03,44.0,45.0,33.0
2021-12-04,35.0,42.0,28.0
2021-12-05,41.0,47.0,38.0
2021-12-06,49.0,62.0,42.0
2021-12-07,44.0,45.0,34.0
2021-12-08,35.0,37.0,28.0
2021-12-09,31.0,38.0,26.0
2021-12-10,35.0,44.0,28.0
2021-12-11,43.0,64.0,35.0
2021-12-12,50.0,62.0,38.0
2021-12-13,43.0,52.0,37.0
2021-12-14,46.0,51.0,35.0
2021-12-15,38.0,45.0,32.0
2021-12-16,52.0,60.0,45.0
2021-12-17,55.0,60.0,42.0
2021-12-18,41.0,43.0,33.0
2021-12-19,36.0,44.0,23.0
2021-12-20,26.0,33.0,20.0
2021-12-21,35.0,44.0,30.0
2021-12-22,39.0,43.0,33.0
2021-12-23,31.0,33.0,24.0
2021-12-24,26.0,30.0,23.0
2021-12-25,31.0,36.0,28.0
2021-12-26,36.0,40.0,33.0
2021-12-27,33.0,35.0,30.0
2021-12-28,37.0,46.0,33.0
2021-12-29,40.0,42.0,36.0
2021-12-30,40.0,42.0,38.0
2021-12-31,42.0,46.0,40.0
2022-01-01,46.0,52.0,44.0
2022-01-02,45.0,46.0,33.0
2022-01-03,29.0,33.0,21.0
2022-01-04,23.0,31.0,17.0
2022-01-05,37.0,51.0,27.0
2022-01-06,40.0,43.0,32.0
2022-01-07,31.0,33.0,23.0
2022-01-08,24.0,28.0,17.0
2022-01-09,31.0,43.0,21.0
2022-01-10,33.0,40.0,22.0
2022-01-11,16.0,22.0,8.0
2022-01-12,22.0,42.0,10.0
2022-01-13,36.0,46.0,29.0
2022-01-14,37.0,41.0,15.0
2022-01-15,13.0,15.0,4.0
2022-01-16,13.0,35.0,5.0
2022-01-17,39.0,49.0,35.0
2022-01-18,31.0,36.0,21.0
2022-01-19,30.0,46.0,20.0
2022-01-20,37.0,41.0,19.0
2022-01-21,18.0,22.0,9.0
2022-01-22,18.0,26.0,13.0
2022-01-23,25.0,35.0,19.0
2022-01-24,28.0,30.0,23.0
2022-01-25,33.0,41.0,28.0
2022-01-26,25.0,28.0,12.0
2022-01-27,17.0,27.0,9.0
2022-01-28,29.0,36.0,25.0
2022-01-29,23.0,29.0,12.0
2022-01-30,15.0,23.0,10.0
2022-01-31,21.0,31.0,14.0
2022-02-01,26.0,35.0,18.0
2022-02-02,35.0,42.0,31.0
2022-02-03,40.0,47.0,35.0
2022-02-04,34.0,40.0,22.0
2022-02-05,22.0,24.0,15.0
2022-02-06,18.0,27.0,10.0
2022-02-07,29.0,41.0,22.0
2022-02-08,39.0,42.0,35.0
2022-02-09,36.0,43.0,30.0
2022-02-10,39.0,51.0,30.0
2022-02-11,42.0,52.0,31.0
2022-02-12,49.0,60.0,39.0
2022-02-13,34.0,39.0,25.0
2022-02-14,22.0,25.0,14.0
2022-02-15,17.0,27.0,11.0
2022-02-16,28.0,47.0,17.0
2022-02-17,51.0,61.0,43.0
2022-02-18,51.0,62.0,25.0
2022-02-19,29.0,39.0,20.0
2022-02-20,24.0,33.0,16.0
2022-02-21,38.0,53.0,31.0
2022-02-22,39.0,55.0,30.0
2022-02-23,57.0,69.0,32.0
2022-02-24,29.0,32.0,22.0
2022-02-25,29.0,33.0,18.0
2022-02-26,22.0,31.0,13.0
2022-02-27,30.0,41.0,22.0
2022-02-28,25.0,29.0,18.0
2022-03-01,26.0,38.0,17.0
2022-03-02,39.0,43.0,33.0
2022-03-03,35.0,39.0,21.0
2022-03-04,24.0,35.0,17.0
2022-03-05,33.0,42.0,26.0
2022-03-06,46.0,65.0,36.0
2022-03-07,57.0,64.0,50.0
2022-03-08,45.0,50.0,36.0
2022-03-09,36.0,40.0,32.0
2022-03-10,38.0,51.0,29.0
2022-03-11,41.0,51.0,31.0
2022-03-12,41.0,46.0,24.0
2022-03-13,28.0,36.0,22.0
2022-03-14,38.0,52.0,29.0
2022-03-15,47.0,59.0,42.0
2022-03-16,43.0,49.0,39.0
2022-03-17,43.0,48.0,38.0
2022-03-18,53.0,68.0,47.0
2022-03-19,49.0,55.0,43.0
2022-03-20,52.0,62.0,42.0
2022-03-21,50.0,59.0,43.0
2022-03-22,45.0,52.0,36.0
2022-03-23,39.0,43.0,33.0
2022-03-24,41.0,43.0,39.0
2022-03-25,46.0,60.0,39.0
2022-03-26,50.0,55.0,43.0
2022-03-27,44.0,50.0,31.0
2022-03-28,31.0,33.0,20.0
2022-03-29,27.0,38.0,19.0
2022-03-30,37.0,50.0,29.0
2022-03-31,51.0,65.0,40.0
2022-04-01,57.0,60.0,40.0
2022-04-02,45.0,54.0,39.0
2022-04-03,44.0,48.0,35.0
2022-04-04,45.0,58.0,38.0
2022-04-05,50.0,59.0,43.0
2022-04-06,45.0,47.0,41.0
2022-04-07,44.0,49.0,39.0
2022-04-08,53.0,63.0,44.0
2022-04-09,51.0,60.0,43.0
2022-04-10,48.0,56.0,41.0
2022-04-11,50.0,64.0,40.0
2022-04-12,56.0,70.0,49.0
2022-04-13,60.0,73.0,47.0
2022-04-14,50.0,50.0,46.0
2022-04-15,55.0,67.0,46.0
2022-04-16,60.0,72.0,43.0
2022-04-17,46.0,50.0,41.0
2022-04-18,45.0,50.0,39.0
2022-04-19,49.0,59.0,43.0
2022-04-20,47.0,57.0,41.0
2022-04-21,51.0,62.0,41.0
2022-04-22,56.0,65.0,49.0
2022-04-23,52.0,58.0,45.0
2022-04-24,47.0,54.0,43.0
2022-04-25,49.0,53.0,46.0
2022-04-26,49.0,55.0,46.0
2022-04-27,53.0,59.0,42.0
2022-04-28,46.0,53.0,39.0
2022-04-29,47.0,57.0,40.0
2022-04-30,47.0,54.0,41.0
2022-05-01,52.0,61.0,45.0
2022-05-02,51.0,56.0,45.0
2022-05-03,48.0,53.0,46.0
2022-05-04,49.0,54.0,47.0
2022-05-05,57.0,70.0,50.0
2022-05-06,57.0,61.0,50.0
2022-05-07,51.0,53.0,46.0
2022-05-08,48.0,54.0,42.0
2022-05-09,48.0,56.0,41.0
2022-05-10,52.0,58.0,45.0
2022-05-11,51.0,60.0,46.0
2022-05-12,54.0,60.0,51.0
2022-05-13,58.0,79.0,51.0
2022-05-14,74.0,86.0,65.0
2022-05-15,70.0,78.0,63.0
2022-05-16,67.0,79.0,58.0
2022-05-17,65.0,74.0,58.0
2022-05-18,63.0,73.0,54.0
2022-05-19,58.0,64.0,53.0
2022-05-20,56.0,66.0,52.0
2022-05-21,61.0,71.0,54.0
2022-05-22,67.0,89.0,56.0
2022-05-23,67.0,72.0,57.0
2022-05-24,58.0,61.0,52.0
2022-05-25,57.0,69.0,50.0
2022-05-26,61.0,73.0,50.0
2022-05-27,69.0,82.0,60.0
2022-05-28,69.0,75.0,64.0
2022-05-29,67.0,73.0,59.0
2022-05-30,72.0,87.0,60.0
2022-05-31,69.0,83.0,55.0
2022-06-01,56.0,61.0,54.0
2022-06-02,58.0,63.0,54.0
2022-06-03,56.0,62.0,53.0
2022-06-04,60.0,73.0,54.0
2022-06-05,66.0,77.0,56.0
2022-06-06,66.0,75.0,58.0
2022-06-07,70.0,82.0,61.0
2022-06-08,71.0,81.0,63.0
2022-06-09,71.0,84.0,61.0
2022-06-10,70.0,78.0,59.0
2022-06-11,71.0,79.0,64.0
2022-06-12,70.0,78.0,60.0
2022-06-13,71.0,85.0,65.0
2022-06-14,73.0,82.0,64.0
2022-06-15,68.0,71.0,59.0
2022-06-16,66.0,74.0,58.0
2022-06-17,73.0,86.0,67.0
2022-06-18,70.0,73.0,55.0
2022-06-19,57.0,63.0,51.0
2022-06-20,62.0,79.0,52.0
2022-06-21,62.0,71.0,53.0
2022-06-22,62.0,67.0,57.0
2022-06-23,63.0,71.0,58.0
2022-06-24,66.0,78.0,59.0
2022-06-25,75.0,84.0,67.0
2022-06-26,78.0,90.0,68.0
2022-06-27,73.0,77.0,67.0
2022-06-28,70.0,76.0,62.0
2022-06-29,71.0,83.0,63.0
2022-06-30,73.0,83.0,67.0
2022-07-01,77.0,92.0,66.0
2022-07-02,78.0,87.0,71.0
2022-07-03,77.0,86.0,71.0
2022-07-04,76.0,85.0,66.0
2022-07-05,73.0,80.0,66.0
2022-07-06,75.0,84.0,67.0
2022-07-07,71.0,79.0,65.0
2022-07-08,73.0,86.0,62.0
2022-07-09,73.0,77.0,64.0
2022-07-10,69.0,75.0,61.0
2022-07-11,74.0,87.0,63.0
2022-07-12,76.0,89.0,67.0
2022-07-13,77.0,87.0,67.0
2022-07-14,71.0,78.0,65.0
2022-07-15,74.0,80.0,66.0
2022-07-16,75.0,85.0,64.0
2022-07-17,76.0,86.0,67.0
2022-07-18,76.0,82.0,68.0
2022-07-19,81.0,93.0,73.0
2022-07-20,84.0,92.0,76.0
2022-07-21,83.0,94.0,71.0
2022-07-22,84.0,94.0,73.0
2022-07-23,84.0,94.0,76.0
2022-07-24,87.0,100.0,72.0
2022-07-25,85.0,90.0,77.0
2022-07-26,78.0,84.0,71.0
2022-07-27,74.0,83.0,66.0
2022-07-28,76.0,89.0,66.0
2022-07-29,82.0,92.0,73.0
2022-07-30,81.0,88.0,73.0
2022-07-31,77.0,85.0,69.0
2022-08-01,77.0,85.0,69.0
2022-08-02,78.0,94.0,69.0
2022-08-03,78.0,81.0,68.0
2022-08-04,81.0,98.0,68.0
2022-08-05,81.0,95.0,73.0
2022-08-06,83.0,97.0,73.0
2022-08-07,86.0,98.0,77.0
2022-08-08,85.0,98.0,78.0
2022-08-09,85.0,98.0,66.0
2022-08-10,69.0,72.0,65.0
2022-08-11,69.0,78.0,66.0
2022-08-12,73.0,80.0,67.0
2022-08-13,68.0,73.0,63.0
2022-08-14,70.0,80.0,63.0
2022-08-15,71.0,77.0,63.0
2022-08-16,70.0,77.0,64.0
2022-08-17,70.0,79.0,66.0
2022-08-18,73.0,84.0,66.0
2022-08-19,80.0,92.0,69.0
2022-08-20,79.0,90.0,70.0
2022-08-21,78.0,89.0,68.0
2022-08-22,70.0,73.0,67.0
2022-08-23,70.0,75.0,68.0
2022-08-24,72.0,81.0,67.0
2022-08-25,76.0,86.0,71.0
2022-08-26,78.0,91.0,70.0
2022-08-27,72.0,78.0,67.0
2022-08-28,71.0,76.0,66.0
2022-08-29,75.0,89.0,65.0
2022-08-30,80.0,91.0,72.0
2022-08-31,77.0,86.0,68.0
2022-09-01,74.0,80.0,62.0
2022-09-02,65.0,69.0,56.0
2022-09-03,66.0,75.0,59.0
2022-09-04,71.0,83.0,64.0
2022-09-05,70.0,72.0,62.0
2022-09-06,64.0,65.0,62.0
2022-09-07,65.0,72.0,60.0
2022-09-08,65.0,71.0,59.0
2022-09-09,65.0,75.0,58.0
2022-09-10,72.0,80.0,66.0
2022-09-11,74.0,80.0,69.0
2022-09-12,71.0,76.0,66.0
2022-09-13,69.0,74.0,67.0
2022-09-14,72.0,80.0,63.0
2022-09-15,67.0,72.0,57.0
2022-09-16,63.0,73.0,55.0
2022-09-17,61.0,66.0,52.0
2022-09-18,70.0,84.0,60.0
2022-09-19,65.0,72.0,59.0
2022-09-20,61.0,62.0,58.0
2022-09-21,62.0,69.0,57.0
2022-09-22,65.0,70.0,55.0
2022-09-23,56.0,61.0,50.0
2022-09-24,56.0,69.0,48.0
2022-09-25,60.0,70.0,51.0
2022-09-26,66.0,75.0,59.0
2022-09-27,65.0,75.0,58.0
2022-09-28,63.0,72.0,55.0
2022-09-29,59.0,65.0,51.0
2022-09-30,54.0,59.0,48.0
2022-10-01,55.0,58.0,52.0
2022-10-02,56.0,58.0,52.0
2022-10-03,53.0,56.0,52.0
2022-10-04,55.0,58.0,53.0
2022-10-05,56.0,59.0,54.0
2022-10-06,62.0,70.0,58.0
2022-10-07,65.0,78.0,57.0
2022-10-08,57.0,61.0,46.0
2022-10-09,53.0,62.0,44.0
2022-10-10,56.0,67.0,49.0
2022-10-11,56.0,66.0,48.0
2022-10-12,62.0,75.0,50.0
2022-10-13,61.0,67.0,55.0
2022-10-14,64.0,69.0,57.0
2022-10-15,61.0,71.0,53.0
2022-10-16,58.0,68.0,51.0
2022-10-17,55.0,60.0,49.0
2022-10-18,62.0,69.0,50.0
2022-10-19,52.0,57.0,44.0
2022-10-20,50.0,59.0,42.0
2022-10-21,53.0,62.0,46.0
2022-10-22,57.0,68.0,47.0
2022-10-23,55.0,58.0,50.0
2022-10-24,56.0,60.0,52.0
2022-10-25,59.0,62.0,57.0
2022-10-26,60.0,65.0,59.0
2022-10-27,63.0,68.0,46.0
2022-10-28,48.0,52.0,42.0
2022-10-29,47.0,55.0,40.0
2022-10-30,50.0,63.0,39.0
2022-10-31,55.0,68.0,45.0
2022-11-01,61.0,65.0,57.0
2022-11-02,60.0,69.0,48.0
2022-11-03,54.0,61.0,46.0
2022-11-04,59.0,72.0,50.0
2022-11-05,65.0,77.0,57.0
2022-11-06,69.0,76.0,65.0
2022-11-07,69.0,76.0,54.0
2022-11-08,53.0,55.0,40.0
2022-11-09,43.0,48.0,36.0
2022-11-10,53.0,69.0,43.0
2022-11-11,61.0,70.0,55.0
2022-11-12,69.0,76.0,56.0
2022-11-13,54.0,56.0,41.0
2022-11-14,41.0,44.0,35.0
2022-11-15,38.0,43.0,33.0
2022-11-16,46.0,57.0,37.0
2022-11-17,42.0,46.0,36.0
2022-11-18,39.0,45.0,32.0
2022-11-19,38.0,44.0,31.0
2022-11-20,35.0,40.0,29.0
2022-11-21,31.0,39.0,25.0
2022-11-22,41.0,48.0,35.0
2022-11-23,44.0,51.0,36.0
2022-11-24,39.0,48.0,32.0
2022-11-25,46.0,52.0,41.0
2022-11-26,45.0,53.0,39.0
2022-11-27,48.0,57.0,43.0
2022-11-28,52.0,58.0,38.0
2022-11-29,39.0,43.0,33.0
2022-11-30,47.0,59.0,39.0
2022-12-01,43.0,43.0,36.0
2022-12-02,39.0,45.0,33.0
2022-12-03,48.0,59.0,39.0
2022-12-04,43.0,43.0,32.0
2022-12-05,39.0,49.0,29.0
2022-12-06,46.0,55.0,40.0
2022-12-07,52.0,59.0,48.0
2022-12-08,53.0,58.0,37.0
2022-12-09,39.0,47.0,33.0
2022-12-10,33.0,36.0,31.0
2022-12-11,30.0,34.0,25.0
2022-12-12,28.0,34.0,24.0
2022-12-13,32.0,41.0,26.0
2022-12-14,31.0,37.0,23.0
2022-12-15,37.0,44.0,32.0
2022-12-16,43.0,45.0,42.0
2022-12-17,40.0,43.0,35.0
2022-12-18,37.0,41.0,33.0
2022-12-19,35.0,42.0,31.0
2022-12-20,35.0,41.0,30.0
2022-12-21,32.0,39.0,27.0
2022-12-22,35.0,45.0,28.0
2022-12-23,49.0,57.0,19.0
2022-12-24,18.0,20.0,11.0
2022-12-25,18.0,27.0,14.0
2022-12-26,26.0,34.0,21.0
2022-12-27,31.0,36.0,28.0
2022-12-28,32.0,43.0,24.0
2022-12-29,41.0,54.0,32.0
2022-12-30,48.0,63.0,39.0
2022-12-31,49.0,54.0,44.0
2023-01-01,53.0,55.0,43.0
2023-01-02,44.0,52.0,36.0
2023-01-03,41.0,45.0,34.0
2023-01-04,41.0,45.0,40.0
