STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-22,56,65,49
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-23,52,58,45
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-24,47,54,43
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-25,49,53,46
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-26,49,55,46
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-27,53,59,42
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-28,46,53,39
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-29,47,57,40
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-04-30,47,54,41
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-01,52,61,45
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-02,51,56,45
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-03,48,53,46
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-04,49,54,47
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-05,57,70,50
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-06,57,61,50
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-07,51,53,46
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-08,48,54,42
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-09,48,56,41
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-10,52,58,45
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-11,51,60,46
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-12,54,60,51
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-13,58,79,51
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-14,74,86,65
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-15,70,78,63
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-16,67,79,58
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-17,65,74,58
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-18,63,73,54
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-19,58,64,53
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-20,56,66,52
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-21,61,71,54
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-22,67,89,56
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-23,67,72,57
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-24,58,61,52
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-25,57,69,50
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-26,61,73,50
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-27,69,82,60
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-28,69,75,64
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-29,67,73,59
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-30,72,87,60
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-05-31,69,83,55
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-01,56,61,54
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-02,58,63,54
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-03,56,62,53
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-04,60,73,54
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-05,66,77,56
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-06,66,75,58
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-07,70,82,61
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-08,71,81,63
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-09,71,84,61
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-10,70,78,59
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-11,71,79,64
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-12,70,78,60
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-13,71,85,65
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-14,73,82,64
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-15,68,71,59
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-16,66,74,58
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-17,73,86,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-18,70,73,55
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-19,57,63,51
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-20,62,79,52
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-21,62,71,53
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-22,62,67,57
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-23,63,71,58
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-24,66,78,59
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-25,75,84,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-26,78,90,68
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-27,73,77,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-28,70,76,62
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-29,71,83,63
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-06-30,73,83,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-01,77,92,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-02,78,87,71
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-03,77,86,71
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-04,76,85,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-05,73,80,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-06,75,84,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-07,71,79,65
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-08,73,86,62
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-09,73,77,64
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-10,69,75,61
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-11,74,87,63
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-12,76,89,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-13,77,87,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-14,71,78,65
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-15,74,80,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-16,75,85,64
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-17,76,86,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-18,76,82,68
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-19,81,93,73
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-20,84,92,76
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-21,83,94,71
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-22,84,94,73
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-23,84,94,76
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-24,87,100,72
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-25,85,90,77
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-26,78,84,71
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-27,74,83,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-28,76,89,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-29,82,92,73
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-30,81,88,73
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-07-31,77,85,69
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-01,77,85,69
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-02,78,94,69
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-03,78,81,68
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-04,81,98,68
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-05,81,95,73
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-06,83,97,73
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-07,86,98,77
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-08,85,98,78
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-09,85,98,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-10,69,72,65
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-11,69,78,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-12,73,80,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-13,68,73,63
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-14,70,80,63
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-15,71,77,63
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-16,70,77,64
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-17,70,79,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-18,73,84,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-19,80,92,69
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-20,79,90,70
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-21,78,89,68
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-22,70,73,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-23,70,75,68
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-24,72,81,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-25,76,86,71
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-26,78,91,70
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-27,72,78,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-28,71,76,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-29,75,89,65
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-30,80,91,72
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-08-31,77,86,68
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-01,74,80,62
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-02,65,69,56
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-03,66,75,59
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-04,71,83,64
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-05,70,72,62
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-06,64,65,62
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-07,65,72,60
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-08,65,71,59
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-09,65,75,58
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-10,72,80,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-11,74,80,69
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-12,71,76,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-13,69,74,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-14,72,80,63
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-15,67,72,57
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-16,63,73,55
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-17,61,66,52
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-18,70,84,60
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-19,65,72,59
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-20,61,62,58
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-21,62,69,57
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-22,65,70,55
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-23,56,61,50
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-24,56,69,48
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-25,60,70,51
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-26,66,75,59
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-27,65,75,58
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-28,63,72,55
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-29,59,65,51
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-09-30,54,59,48
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-10-01,55,58,52
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-10-02,56,58,52
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-10-03,53,56,52
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-10-04,55,58,53
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2022-10-05,56,59,54
